INTEGRATION REFERENCES LIST                    MAR 18,2015  11:22    PAGE 1
      4636  MAR 17,2005  LAB SERVICE
      4637  MAR 22,2005  DIETETICS
      4638  APR  5,2005  HEALTH DATA & INFORMATICS
      4639  APR  6,2005  HEALTH DATA & INFORMATICS
      4640  APR  6,2005  HEALTH DATA & INFORMATICS
      4641  APR  6,2005  HEALTH DATA & INFORMATICS
      4642  MAR 25,2005  CLINICAL REMINDERS
      4643  MAR 25,2005  CLINICAL REMINDERS
      4644  MAR 25,2005  CLINICAL REMINDERS
      4645  MAR 24,2005  RPC BROKER
      4647  MAR 31,2005  HEALTH LEVEL SEVEN
      4648  DEC 15,2010  REGISTRATION
      4649  MAR 24,2005  MAILMAN
      4650  MAR 24,2005  MAILMAN
      4651  APR 11,2005  HEALTH DATA & INFORMATICS
      4652  APR  1,2005  SCHEDULING
      4653  APR  6,2005  GEN. MED. REC. - VITALS
      4654  NOV 30,2005  GEN. MED. REC. - VITALS
      4655  MAY  2,2005  BAR CODE MED ADMIN
      4656  MAY  2,2005  BAR CODE MED ADMIN
      4657  MAY  2,2005  BAR CODE MED ADMIN
      4658  OCT 11,2005  LAB SERVICE
      4659  MAY 30,2006  ORDER ENTRY/RESULTS REPORTING
      4660  APR 11,2005  ORDER ENTRY/RESULTS REPORTING
      4661  APR 12,2005  PROSTHETICS
      4662  APR 26,2005  PHARMACY DATA MANAGEMENT
      4663  MAY 23,2005  INTEGRATED BILLING
      4664  MAY 23,2005  INTEGRATED BILLING
      4665  MAY 23,2005  INTEGRATED BILLING
      4666  MAY  5,2005  OUTPATIENT PHARMACY
      4667  MAY 10,2005  ADVERSE REACTION TRACKING
      4668  SEP 20,2006  SCHEDULING
      4669  MAY 16,2005  HEALTH LEVEL SEVEN
      4670  MAY 16,2005  VBECS
      4671  MAY 31,2005  SCHEDULING
      4672  MAY 31,2005  SCHEDULING
      4673  AUG  9,2005  ORDER ENTRY/RESULTS REPORTING
      4674  JUN  2,2005  KERNEL
      4675  JUN  3,2005  RADIOLOGY/NUCLEAR MEDICINE
      4676  JUN  8,2005  IFCAP
      4677  JUN  8,2005  KERNEL
      4678  JUN  8,2005  REGISTRATION
      4679  DEC 20,2005  REGISTRATION
      4680  DEC 20,2005  REGISTRATION
      4681  JUN  9,2005  ORDER ENTRY/RESULTS REPORTING
      4682  JUN 13,2005  ADVERSE REACTION TRACKING
      4683  JUN 13,2005  ADVERSE REACTION TRACKING
      4684  JUN 13,2005  ADVERSE REACTION TRACKING
      4685  JUN 20,2005  KERNEL
      4686  SEP  9,2005  REGISTRATION
      4687  JUN 22,2005  OUTPATIENT PHARMACY
      4688  JUN 28,2005  REGISTRATION
      4689  APR 20,2007  OUTPATIENT PHARMACY
      4690  JUN 21,2005  TOOLKIT
      4691  JUN 17,2005  KERNEL
      4692  JUN 22,2005  INTEGRATED BILLING
      4693  JUN 22,2005  INTEGRATED BILLING
      4694  JUN 22,2005  INTEGRATED BILLING
      4695  JUN 22,2005  INTEGRATED BILLING
      4696  JUN 22,2005  INTEGRATED BILLING
      4697  JUN 22,2005  INTEGRATED BILLING
      4698  JUN 22,2005  INTEGRATED BILLING
      4701  JUN 27,2005  OUTPATIENT PHARMACY
      4702  JUN 27,2005  OUTPATIENT PHARMACY
      4704  JUN 27,2005  IFCAP
      4705  JUN 27,2005  OUTPATIENT PHARMACY
      4706  JUN 27,2005  OUTPATIENT PHARMACY
      4707  JUN 27,2005  PHARMACY DATA MANAGEMENT
      4708  JUN 27,2005  PHARMACY DATA MANAGEMENT
      4709  JUN 27,2005  INTEGRATED BILLING
      4710  JUN 28,2005  INTEGRATED BILLING
      4711  JUN 27,2005  OUTPATIENT PHARMACY
      4712  JUL  5,2005  E CLAIMS MGMT ENGINE
      4713  JUL  5,2005  E CLAIMS MGMT ENGINE
      4714  JUL  5,2005  E CLAIMS MGMT ENGINE
      4715  JUL  5,2005  E CLAIMS MGMT ENGINE
      4716  AUG 19,2005  HEALTH LEVEL SEVEN
      4717  AUG 19,2005  HEALTH LEVEL SEVEN
      4718  AUG 19,2005  HEALTH LEVEL SEVEN
      4719  AUG 16,2005  E CLAIMS MGMT ENGINE
      4720  JUL  7,2005  E CLAIMS MGMT ENGINE
      4722  AUG 19,2005  HEALTH LEVEL SEVEN
      4723  AUG 19,2005  HEALTH LEVEL SEVEN
      4724  AUG 19,2005  HEALTH LEVEL SEVEN
      4725  AUG 19,2005  HEALTH LEVEL SEVEN
      4726  AUG 19,2005  HEALTH LEVEL SEVEN
      4727  AUG 19,2005  HEALTH LEVEL SEVEN
      4728  AUG 19,2005  HEALTH LEVEL SEVEN
      4729  JUL 11,2005  INTEGRATED BILLING
      4730  AUG 19,2005  HEALTH LEVEL SEVEN
      4731  AUG 19,2005  HEALTH LEVEL SEVEN
      4732  JUL 15,2005  OUTPATIENT PHARMACY
      4733  JUL 19,2005  TEXT INTEGRATION UTILITIES
      4734  JUL 18,2005  ORDER ENTRY/RESULTS REPORTING
      4735  JUL 18,2005  ORDER ENTRY/RESULTS REPORTING
      4736  JUL 20,2005  LIST MANAGER
      4737  JUL 20,2005  REGISTRATION
      4738  JUL 20,2005  HEALTH LEVEL SEVEN
      4739  JUL 21,2005  HEALTH LEVEL SEVEN
      4741  JUL 27,2005  INTEGRATED BILLING
      4742  AUG 29,2005  HEALTH LEVEL SEVEN
      4743  AUG  1,2005  PROBLEM LIST
      4744  AUG 29,2005  HEALTH LEVEL SEVEN
      4745  AUG  1,2005  VIRTUAL PATIENT RECORD
      4746  AUG  1,2005  VIRTUAL PATIENT RECORD
      4747  AUG  1,2005  VIRTUAL PATIENT RECORD
      4748  AUG  1,2005  VIRTUAL PATIENT RECORD
      4749  AUG  1,2005  VIRTUAL PATIENT RECORD
      4750  AUG  2,2005  VIRTUAL PATIENT RECORD
      4752  AUG  1,2005  VIRTUAL PATIENT RECORD
      4753  DEC 12,2014  GEN. MED. REC. - VITALS
      4754  OCT  2,2014  VA FILEMAN
      4756  OCT  6,2005  KERNEL
      4757  OCT  6,2005  KERNEL
      4758  OCT  6,2005  KERNEL
      4759  OCT  6,2005  KERNEL
      4760  OCT  6,2005  KERNEL
      4761  OCT  6,2005  KERNEL
      4762  OCT  6,2005  KERNEL
      4763  AUG 16,2005  DIETETICS
      4764  OCT  6,2005  KERNEL
      4765  OCT  6,2005  KERNEL
      4766  AUG  4,2005  VBECS
      4767  AUG 22,2005  VBECS
      4768  DEC 15,2010  VA FILEMAN
      4769  AUG  5,2005  TEXT INTEGRATION UTILITIES
      4770  AUG  8,2005  KERNEL
      4771  AUG  9,2005  RADIOLOGY/NUCLEAR MEDICINE
      4773  AUG 10,2005  LAB SERVICE
      4774  AUG 10,2005  LAB SERVICE
      4775  AUG 10,2005  LAB SERVICE
      4777  AUG 17,2005  INTEGRATED BILLING
      4778  AUG 16,2005  VA FILEMAN
      4779  AUG 16,2005  LAB SERVICE
      4781  AUG 17,2005  REGISTRATION
      4782  AUG 31,2005  SCHEDULING
      4783  AUG 18,2005  ADVERSE REACTION TRACKING
      4784  AUG 18,2005  GEN. MED. REC. - VITALS
      4785  AUG 25,2005  INTEGRATED BILLING
      4786  AUG 25,2005  INTEGRATED BILLING
      4787  AUG 25,2005  INTEGRATED BILLING
      4788  AUG 25,2005  INTEGRATED BILLING
      4789  AUG 25,2005  INTEGRATED BILLING
      4790  AUG 25,2005  INTEGRATED BILLING
      4791  DEC 20,2005  GEN. MED. REC. - VITALS
      4792  AUG 31,2005  TEXT INTEGRATION UTILITIES
      4793  SEP 12,2005  WOMEN'S HEALTH
      4794  OCT 12,2005  RADIOLOGY/NUCLEAR MEDICINE
      4795  SEP 22,2005  TEXT INTEGRATION UTILITIES
      4796  SEP 21,2005  TEXT INTEGRATION UTILITIES
      4798  DEC 15,2010  REGISTRATION
      4799  SEP 23,2005  FEE BASIS
      4800  SEP 23,2005  REGISTRATION
      4801  OCT  5,2005  HEALTH DATA & INFORMATICS
      4802  MAR 31,2006  HEALTH LEVEL SEVEN
      4803  SEP 29,2005  PHARMACY BENEFITS MANAGEMENT
      4804  OCT  5,2005  HEALTH LEVEL SEVEN
      4805  OCT  5,2005  HEALTH LEVEL SEVEN
      4806  DEC 20,2010  VA FILEMAN
      4807  OCT  5,2005  REGISTRATION
      4808  DEC 28,2010  REGISTRATION
      4809  OCT 12,2005  TOOLKIT
      4810  OCT 11,2005  CLINICAL INFO RESOURCE NETWORK
      4811  OCT 26,2005  CLINICAL REMINDERS
      4812  OCT 12,2005  E CLAIMS MGMT ENGINE
      4813  OCT 12,2005  E CLAIMS MGMT ENGINE
      4814  OCT 12,2005  PCE PATIENT CARE ENCOUNTER
      4815  OCT 19,2005  GEN. MED. REC. - VITALS
      4816  OCT 24,2005  VA FILEMAN
      4817  OCT 24,2005  REGISTRATION
      4818  OCT 25,2005  ORDER ENTRY/RESULTS REPORTING
      4819  OCT 31,2005  INPATIENT MEDICATIONS
      4820  DEC  7,2005  OUTPATIENT PHARMACY
      4821  DEC  7,2005  OUTPATIENT PHARMACY
      4822  DEC  7,2005  OUTPATIENT PHARMACY
      4823  DEC  7,2005  OUTPATIENT PHARMACY
      4824  DEC  7,2005  OUTPATIENT PHARMACY
      4825  DEC  7,2005  OUTPATIENT PHARMACY
      4826  NOV 15,2005  PHARMACY DATA MANAGEMENT
      4827  DEC  7,2005  OUTPATIENT PHARMACY
      4828  NOV 15,2005  PHARMACY DATA MANAGEMENT
      4829  FEB 14,2006  NATIONAL DRUG FILE
      4830  NOV  3,2005  NDBI
      4831  NOV 30,2005  GEN. MED. REC. - VITALS
      4832  JAN  5,2006  KERNEL
      4833  NOV  2,2005  GEN. MED. REC. - VITALS
      4834  NOV  3,2005  KERNEL
      4835  DEC  1,2005  ORDER ENTRY/RESULTS REPORTING
      4836  MAR 22,2006  SCHEDULING
      4837  MAR 24,2006  CONSULT/REQUEST TRACKING
      4838  MAR 31,2006  IMAGING
      4839  APR  7,2006  TEXT INTEGRATION UTILITIES
      4840  APR 11,2006  REGISTRATION
      4841  APR 10,2006  SCHEDULING
      4842  APR 10,2006  SCHEDULING
      4843  APR 10,2006  SCHEDULING
      4844  APR 10,2006  SCHEDULING
      4845  APR 12,2006  IMAGING
      4846  APR 13,2006  PHARMACY DATA MANAGEMENT
      4847  APR 18,2006  ADVERSE REACTION TRACKING
      4848  APR 18,2006  ADVERSE REACTION TRACKING
      4849  APR 20,2006  REGISTRATION
      4850  APR 27,2006  SCHEDULING
      4851  APR 21,2006  KERNEL
      4852  JUN  5,2006  HEALTH LEVEL SEVEN
      4853  JUN  5,2006  HEALTH LEVEL SEVEN
      4854  MAY  8,2006  CONSULT/REQUEST TRACKING
      4855  MAY  9,2006  KERNEL
      4856  SEP  8,2006  HEALTH DATA & INFORMATICS
      4858  MAY 15,2006  OUTPATIENT PHARMACY
      4859  MAY 22,2006  ORDER ENTRY/RESULTS REPORTING
      4860  MAY 23,2006  HEALTH DATA & INFORMATICS
      4861  MAY 31,2006  HEALTH LEVEL SEVEN
      4862  JUN 14,2006  INTEGRATED BILLING
      4863  JUN  5,2006  ORDER ENTRY/RESULTS REPORTING
      4864  JUN 13,2006  LAB SERVICE
      4865  JUN 14,2006  REGISTRATION
      4866  JUL 10,2006  GEN. MED. REC. - VITALS
      4867  JUL 26,2006  GEN. MED. REC. - VITALS
      4868  JUL 31,2006  KERNEL
      4869  AUG  3,2006  REGISTRATION
      4870  JAN  4,2011  VA FILEMAN
      4871  JUL 26,2006  cds 
      4872  AUG  2,2006  SURGERY
      4873  AUG 22,2006  VBECS
      4874  AUG 22,2006  VBECS
      4875  AUG 16,2006  RADIOLOGY/NUCLEAR MEDICINE
      4876  AUG 22,2006  DIETETICS
      4877  AUG 22,2006  DIETETICS
      4878  AUG 22,2006  DIETETICS
      4879  AUG  9,2006  PROSTHETICS
      4880  AUG 22,2006  DIETETICS
      4881  AUG 22,2006  DIETETICS
      4882  AUG  9,2006  DIETETICS
      4883  SEP  6,2006  DIETETICS
      4884  AUG  9,2006  DIETETICS
      4885  AUG 22,2006  DIETETICS
      4886  AUG 28,2006  REGISTRATION
      4887  AUG 21,2006  term
      4888  AUG 22,2006  term
      4889  AUG 22,2006  term
      4890  AUG 22,2006  term
      4891  AUG 22,2006  term
      4892  AUG 22,2006  term
      4893  SEP  7,2006  ORDER ENTRY/RESULTS REPORTING
      4894  AUG 25,2006  KERNEL
      4895  AUG 29,2006  REGISTRATION
      4896  APR  4,2007  VA FILEMAN
      4897  SEP  5,2006  KERNEL
      4898  SEP  7,2006  ORDER ENTRY/RESULTS REPORTING
      4899  SEP  7,2006  ORDER ENTRY/RESULTS REPORTING
      4900  SEP 11,2006  ORDER ENTRY/RESULTS REPORTING
      4901  SEP 11,2006  ORDER ENTRY/RESULTS REPORTING
      4902  SEP 13,2006  OUTPATIENT PHARMACY
      4903  JAN  6,2011  REGISTRATION
      4904  SEP 27,2006  ORDER ENTRY/RESULTS REPORTING
      4905  SEP 27,2006  ORDER ENTRY/RESULTS REPORTING
      4906  SEP 27,2006  ORDER ENTRY/RESULTS REPORTING
      4907  SEP 27,2006  ORDER ENTRY/RESULTS REPORTING
      4908  SEP 27,2006  ORDER ENTRY/RESULTS REPORTING
      4909  SEP 27,2006  VA FILEMAN
      4910  SEP 29,2006  OUTPATIENT PHARMACY
      4911  SEP 29,2006  KERNEL
      4912  OCT  5,2006  LEXICON UTILITY
      4913  OCT  5,2006  LEXICON UTILITY
      4914  OCT  5,2006  LEXICON UTILITY
      4915  OCT 11,2006  HEALTH LEVEL SEVEN
      4916  OCT 11,2006  HEALTH LEVEL SEVEN
      4917  OCT 11,2006  HEALTH LEVEL SEVEN
      4918  OCT 11,2006  HEALTH LEVEL SEVEN
      4919  OCT 11,2006  HEALTH LEVEL SEVEN
      4921  OCT 11,2006  REGISTRATION
      4922  OCT 23,2006  ORDER ENTRY/RESULTS REPORTING
      4923  OCT 23,2006  VA FILEMAN
      4924  OCT 24,2006  TEXT INTEGRATION UTILITIES
      4925  NOV 28,2006  CAPACITY MANAGEMENT TOOLS
      4927  DEC  4,2006  ORDER ENTRY/RESULTS REPORTING
      4928  NOV 24,2006  PHARMACY DATA MANAGEMENT
      4929  NOV  7,2006  SCHEDULING
      4930  NOV 28,2006  SCHEDULING
      4931  NOV 28,2006  ORDER ENTRY/RESULTS REPORTING
      4932  NOV 29,2006  REGISTRATION
      4933  NOV 29,2006  REGISTRATION
      4934  NOV 29,2006  REGISTRATION
      4936  DEC 14,2006  ORDER ENTRY/RESULTS REPORTING
      4937  JAN 10,2011  REGISTRATION
      4938               REGISTRATION
      4940  JAN 10,2011  REGISTRATION
      4941  DEC 11,2006  REGISTRATION
      4942  DEC 11,2006  REGISTRATION
      4943  DEC 11,2006  REGISTRATION
      4944  DEC 11,2006  REGISTRATION
      4945  DEC 11,2006  REGISTRATION
      4946  DEC 12,2006  REGISTRATION
      4947  DEC 12,2006  REGISTRATION
      4951  DEC 14,2006  VPFS
      4952  DEC 14,2006  VPFS
      4953               VBECS
      4954  MAR 12,2008  ORDER ENTRY/RESULTS REPORTING
      4955               ELECTRONIC SIGNATURE
      4956  JAN  9,2007  VBECS
      4957               INTEGRATED BILLING
      4960               INTEGRATED BILLING
      4961               INTEGRATED BILLING
      4962               INTEGRATED BILLING
      4963               OUTPATIENT PHARMACY
      4964  AUG 26,2010  INTEGRATED BILLING
      4965               INTEGRATED BILLING
      4966               HEALTH LEVEL SEVEN
      4968               CMOP
      4969  JAN 22,2007  REGISTRATION
      4970  JAN 22,2007  OUTPATIENT PHARMACY
      4971               INTEGRATED BILLING
      4972               INTEGRATED BILLING
      4975               PROSTHETICS
      4982  MAY  1,2007  ORDER ENTRY/RESULTS REPORTING
      4987  MAY  4,2007  INTEGRATED BILLING
      4989  MAY 10,2007  LAB SERVICE
      4990  MAY 10,2007  SCHEDULING
      4991  MAY 11,2007  PCE PATIENT CARE ENCOUNTER
      4992  MAY 14,2007  PHARMACY DATA MANAGEMENT
      4993  MAY 23,2007  VA FILEMAN
      4994  MAY 23,2007  VA FILEMAN
      4995  MAY 24,2007  ORDER ENTRY/RESULTS REPORTING
      4996  MAY 25,2007  INTEGRATED BILLING
      4997  JUN  5,2007  NATIONAL DRUG FILE
      4998  JUN  5,2007  NATIONAL DRUG FILE
      4999  JUN  5,2007  NATIONAL DRUG FILE
      5000  JUN  5,2007  OUTPATIENT PHARMACY
      5001  JUN  5,2007  INPATIENT MEDICATIONS
      5002  JUN 13,2007  VA FILEMAN
      5004  JUN 19,2007  HEALTHEVET DESKTOP
      5005  JUN 19,2007  HEALTHEVET DESKTOP
      5006  JUN 28,2007  LEXICON UTILITY
      5007  JUN 28,2007  LEXICON UTILITY
      5008  JUN 28,2007  LEXICON UTILITY
      5009  JUN 28,2007  LEXICON UTILITY
      5010  JUN 28,2007  LEXICON UTILITY
      5011  JUN 28,2007  LEXICON UTILITY
      5013  JUL 10,2007  VA FILEMAN
      5014  JUL 11,2007  OUTPATIENT PHARMACY
      5015  JUL 12,2007  VA FILEMAN
      5016  JUL 13,2007  REGISTRATION
      5017  JUL 25,2007  REGISTRATION
      5019  JUL 31,2007  E CLAIMS MGMT ENGINE
      5020  AUG  1,2007  RADIOLOGY/NUCLEAR MEDICINE
      5021  AUG  1,2007  IMAGING
      5022  AUG  1,2007  IMAGING
      5023  AUG  1,2007  IMAGING
      5026  AUG  7,2007  HEALTH DATA & INFORMATICS
      5027  AUG  7,2007  KERNEL
      5029  AUG 23,2007  INTEGRATED BILLING
      5032  SEP 24,2007  KERNEL
      5033  OCT  2,2007  TEXT INTEGRATION UTILITIES
      5034  OCT  4,2007  MENTAL HEALTH
      5035  OCT  4,2007  MENTAL HEALTH
      5036  OCT 23,2007  REGISTRATION
      5038  NOV  6,2007  VA FILEMAN
      5039  NOV  7,2007  REGISTRATION
      5040  NOV  7,2007  SCHEDULING
      5041  JAN 11,2011  MASTER PATIENT INDEX VISTA
      5042  NOV  8,2007  MENTAL HEALTH
      5043  NOV  8,2007  MENTAL HEALTH
      5044  NOV  8,2007  MENTAL HEALTH
      5045  NOV  9,2007  RADIOLOGY/NUCLEAR MEDICINE
      5046  NOV 14,2007  GEN. MED. REC. - VITALS
      5047  NOV 14,2007  GEN. MED. REC. - VITALS
      5048  NOV 14,2007  GEN. MED. REC. - VITALS
      5049  JAN 11,2011  MASTER PATIENT INDEX VISTA
      5050  NOV 14,2007  GEN. MED. REC. - VITALS
      5053  NOV 15,2007  MENTAL HEALTH
      5056  NOV 20,2007  MENTAL HEALTH
      5057  DEC  5,2007  INPATIENT MEDICATIONS
      5058  DEC  5,2007  INPATIENT MEDICATIONS
      5059  DEC  6,2007  TEXT INTEGRATION UTILITIES
      5060  DEC  6,2007  TEXT INTEGRATION UTILITIES
      5061  DEC  6,2007  TEXT INTEGRATION UTILITIES
      5062  DEC 12,2007  CONSULT/REQUEST TRACKING
      5063  DEC 14,2007  OUTPATIENT PHARMACY
      5064  DEC 14,2007  E CLAIMS MGMT ENGINE
      5067  JAN 10,2008  VA FILEMAN
      5068  JAN 16,2008  RADIOLOGY/NUCLEAR MEDICINE
      5069  JAN 16,2008  RADIOLOGY/NUCLEAR MEDICINE
      5070  JAN 16,2008  KERNEL
      5071  JAN 16,2008  RADIOLOGY/NUCLEAR MEDICINE
      5072  JAN 16,2008  RADIOLOGY/NUCLEAR MEDICINE
      5073  JAN 16,2008  RADIOLOGY/NUCLEAR MEDICINE
      5074  JAN 16,2008  RADIOLOGY/NUCLEAR MEDICINE
      5075  JAN 16,2008  RADIOLOGY/NUCLEAR MEDICINE
      5077  JAN 18,2008  KERNEL
      5079  JAN 31,2008  FEE BASIS
      5080  JAN 31,2008  FEE BASIS
      5081  JAN 31,2008  FEE BASIS
      5082  JAN 31,2008  FEE BASIS
      5083  JAN 31,2008  FEE BASIS
      5084  JAN 31,2008  FEE BASIS
      5085  JAN 31,2008  FEE BASIS
      5086  JAN 31,2008  FEE BASIS
      5087  JAN 31,2008  FEE BASIS
      5088  JAN 31,2008  FEE BASIS
      5089  JAN 31,2008  FEE BASIS
      5090  JAN 31,2008  FEE BASIS
      5091  JAN 31,2008  FEE BASIS
      5092  JAN 31,2008  FEE BASIS
      5093  JAN 31,2008  FEE BASIS
      5095  JAN 31,2008  FEE BASIS
      5096  JAN 31,2008  FEE BASIS
      5097  JAN 31,2008  FEE BASIS
      5098  JAN 31,2008  FEE BASIS
      5099  JAN 31,2008  FEE BASIS
      5100  JAN 31,2008  FEE BASIS
      5102  JAN 31,2008  FEE BASIS
      5104  JAN 31,2008  FEE BASIS
      5105  FEB  7,2008  FEE BASIS
      5106  FEB  7,2008  FEE BASIS
      5107  FEB  7,2008  FEE BASIS
      5108  FEB  7,2008  FEE BASIS
      5109  FEB  7,2008  FEE BASIS
      5110  FEB  7,2008  FEE BASIS
      5112  FEB  7,2008  FEE BASIS
      5113  FEB  7,2008  FEE BASIS
      5114  FEB  7,2008  FEE BASIS
      5115  FEB  7,2008  FEE BASIS
      5116  FEB  7,2008  FEE BASIS
      5117  FEB  7,2008  FEE BASIS
      5118  FEB  7,2008  FEE BASIS
      5119  FEB  7,2008  FEE BASIS
      5120  FEB  7,2008  FEE BASIS
      5121  JAN 13,2011  MASTER PATIENT INDEX VISTA
      5129  FEB 11,2008  TEXT INTEGRATION UTILITIES
      5131  FEB 12,2008  VA FILEMAN
      5132  FEB 12,2008  REGISTRATION
      5133  FEB 14,2008  CLINICAL REMINDERS
      5140  FEB 19,2008  ORDER ENTRY/RESULTS REPORTING
      5151  FEB 25,2008  KERNEL
      5152  FEB 26,2008  ORDER ENTRY/RESULTS REPORTING
      5154  MAR  4,2008  REGISTRATION
      5157  MAR 14,2008  LAB SERVICE
      5158  MAR 17,2008  REGISTRATION
      5161  MAR 25,2008  LAB SERVICE
      5170  APR 11,2008  FOUNDATIONS
      5171  APR 11,2008  FOUNDATIONS
      5172  APR 11,2008  FOUNDATIONS
      5173  APR 11,2008  FOUNDATIONS
      5174  APR 11,2008  FOUNDATIONS
      5175  APR 11,2008  FOUNDATIONS
      5176  APR 11,2008  FOUNDATIONS
      5177  APR 11,2008  FOUNDATIONS
      5178  APR 11,2008  VISTALINK
      5179  APR 11,2008  VISTALINK
      5180  APR 11,2008  VISTALINK
      5182  APR 17,2008  KERNEL
      5186  APR 22,2008  OUTPATIENT PHARMACY
      5187  APR 24,2008  PHARMACY DATA MANAGEMENT
      5191  APR 28,2008  PCE PATIENT CARE ENCOUNTER
      5192  APR 28,2008  PCE PATIENT CARE ENCOUNTER
      5193  APR 28,2008  PCE PATIENT CARE ENCOUNTER
      5195  MAY  7,2008  SCHEDULING
      5197  MAY  8,2008  OUTPATIENT PHARMACY
      5198  MAY 13,2008  KERNEL
      5199  MAY 13,2008  KERNEL
      5200  MAY 14,2008  VA FILEMAN
      5206  JUN  3,2008  HEALTH LEVEL SEVEN
      5210  JUN  6,2008  INTEGRATED BILLING
      5211  JUN 10,2008  FEE BASIS
      5213  JUN 10,2008  FEE BASIS
      5216  JUN 11,2008  FEE BASIS
      5217  JUN 11,2008  FEE BASIS
      5218  JUN 11,2008  ACCOUNTS RECEIVABLE
      5219  JUN 26,2008  ACCOUNTS RECEIVABLE
      5220  JUN 26,2008  ACCOUNTS RECEIVABLE
      5221  JUL  1,2008  VISTALINK SECURITY
      5222  JUL  1,2008  VISTALINK SECURITY
      5223  JUL  1,2008  VISTALINK SECURITY
      5224  JUL  1,2008  VISTALINK SECURITY
      5225  JUL  1,2008  VISTALINK SECURITY
      5226  JUL  1,2008  VISTALINK
      5227  JUL  2,2008  VISTALINK
      5228  JUL  2,2008  VISTALINK
      5229  JUL  2,2008  VISTALINK
      5230  JUL  2,2008  VISTALINK
      5231  JUL  2,2008  VISTALINK
      5232  JUL  2,2008  VISTALINK
      5233  JUL  2,2008  VISTALINK
      5234  JUL  2,2008  VISTALINK
      5235  JUL  2,2008  VISTALINK
      5236  JUL  2,2008  VISTALINK
      5237  JUL  3,2008  TOOLKIT
      5238  JUL  3,2008  VISTALINK
      5239  JUL  3,2008  VISTALINK
      5240  JUL  3,2008  VISTALINK
      5241  JUL  3,2008  VISTALINK
      5242  JUL  3,2008  VISTALINK
      5243  JUL  9,2008  VISTALINK
      5244  JUL  9,2008  VISTALINK SECURITY
      5245  JUL  9,2008  FOUNDATIONS
      5246  JUL 29,2008  HEALTH SUMMARY
      5247  JUL 29,2008  HEALTH SUMMARY
      5248  JUL 29,2008  HEALTH SUMMARY
      5249  JUL 29,2008  TEXT INTEGRATION UTILITIES
      5250  AUG  1,2008  SCHEDULING
      5251  AUG  5,2008  HEALTH LEVEL SEVEN
      5255  AUG 27,2008  KERNEL
      5256  AUG 28,2008  KERNEL
      5257  AUG 28,2008  KERNEL
      5258  AUG 29,2008  VOLUNTARY SERVICE SYSTEM
      5259  SEP  4,2008  AUTOMATED LAB INSTRUMENTS
      5260  SEP  9,2008  VISTALINK
      5261  SEP  9,2008  VISTALINK
      5262  SEP 12,2008  VISTALINK
      5263  SEP 23,2008  OUTPATIENT PHARMACY
      5264  SEP 23,2008  ENROLLMENT APPLICATION SYSTEM
      5265  SEP 25,2008  SCHEDULING
      5266  SEP 25,2008  SCHEDULING
      5267  SEP 25,2008  NURSING SERVICE
      5269  OCT  2,2008  CLINICAL PROCEDURES
      5270  OCT  9,2008  MASTER PATIENT INDEX VISTA
      5271  OCT  9,2008  TOOLKIT
      5272  OCT 12,2008  FEE BASIS
      5273  OCT 15,2008  FEE BASIS
      5274  OCT 15,2008  IFCAP
      5275  OCT 16,2008  FEE BASIS
      5276  OCT 16,2008  FEE BASIS
      5281  OCT 23,2008  INTEGRATED BILLING
      5282  OCT 23,2008  INTEGRATED BILLING
      5284  OCT 24,2008  FEE BASIS
      5286  NOV  6,2008  INTEGRATED BILLING
      5288  NOV 10,2008  KERNEL
      5290  NOV 20,2008  HEALTH LEVEL SEVEN
      5291  NOV 23,2008  IMAGING
      5292  NOV 23,2008  INTEGRATED BILLING
      5293  NOV 23,2008  INTEGRATED BILLING
      5294  NOV 23,2008  INTEGRATED BILLING
      5296  NOV 23,2008  INTEGRATED BILLING
      5297  NOV 24,2008  INTEGRATED BILLING
      5298  NOV 24,2008  INTEGRATED BILLING
      5299  NOV 24,2008  INTEGRATED BILLING
      5304  NOV 24,2008  INTEGRATED BILLING
      5305  NOV 24,2008  INTEGRATED BILLING
      5306  DEC  8,2008  INPATIENT MEDICATIONS
      5307  DEC 10,2008  INTEGRATED BILLING
      5309  DEC 10,2008  INTEGRATED BILLING
      5312  DEC 10,2008  INTEGRATED BILLING
      5313  DEC 10,2008  INTEGRATED BILLING
      5314  DEC 10,2008  INTEGRATED BILLING
      5315  DEC 12,2008  ORDER ENTRY/RESULTS REPORTING
      5316  DEC 12,2008  TEXT INTEGRATION UTILITIES
      5317  DEC 23,2008  VA CERTIFIED COMPONENTS - DSSI
      5318  DEC 23,2008  VA CERTIFIED COMPONENTS - DSSI
      5319  DEC 23,2008  VA CERTIFIED COMPONENTS - DSSI
      5320  DEC 23,2008  VA CERTIFIED COMPONENTS - DSSI
      5321  DEC 23,2008  VA CERTIFIED COMPONENTS - DSSI
      5322  DEC 23,2008  VA CERTIFIED COMPONENTS - DSSI
      5323  DEC 23,2008  VA CERTIFIED COMPONENTS - DSSI
      5324  DEC 24,2008  VA CERTIFIED COMPONENTS - DSSI
      5325  DEC 24,2008  VA CERTIFIED COMPONENTS - DSSI
      5326  DEC 24,2008  VA CERTIFIED COMPONENTS - DSSI
      5328  DEC 31,2008  FEE BASIS
      5329  DEC 31,2008  FEE BASIS
      5332  JAN  7,2009  ORDER ENTRY/RESULTS REPORTING
      5333  JAN  8,2009  INPATIENT MEDICATIONS
